Year,Month,CTI,SOI,PDO,NAO,AMO,IOD,AO,QBO,EP,CP,PNA,AAO
1856,12,-0.889,NaN,NaN,NaN,0.237,0.11,NaN,NaN,NaN,NaN,NaN,NaN
1857,1,-0.92,NaN,NaN,NaN,0.222,-0.13,NaN,NaN,NaN,NaN,NaN,NaN
1857,2,0.609,NaN,NaN,NaN,-0.052,-0.09,NaN,NaN,NaN,NaN,NaN,NaN
1857,3,-0.428,NaN,NaN,NaN,-0.067,0.24,NaN,NaN,NaN,NaN,NaN,NaN
1857,4,-0.777,NaN,NaN,NaN,0.015,0.23,NaN,NaN,NaN,NaN,NaN,NaN
1857,5,0.0345,NaN,NaN,NaN,-0.025,0.04,NaN,NaN,NaN,NaN,NaN,NaN
1857,6,0.668,NaN,NaN,NaN,0.108,-0.01,NaN,NaN,NaN,NaN,NaN,NaN
1857,7,1.78,NaN,NaN,NaN,0.14,-0.07,NaN,NaN,NaN,NaN,NaN,NaN
1857,8,1.11,NaN,NaN,NaN,0.005,-0.16,NaN,NaN,NaN,NaN,NaN,NaN
1857,9,0.0339,NaN,NaN,NaN,0.027,-0.17,NaN,NaN,NaN,NaN,NaN,NaN
1857,10,0.693,NaN,NaN,NaN,-0.126,-0.22,NaN,NaN,NaN,NaN,NaN,NaN
1857,11,NaN,NaN,NaN,NaN,-0.161,-0.17,NaN,NaN,NaN,NaN,NaN,NaN
1857,12,NaN,NaN,NaN,NaN,-0.275,0.08,NaN,NaN,NaN,NaN,NaN,NaN
1858,1,0.609,NaN,NaN,NaN,-0.213,0.19,NaN,NaN,NaN,NaN,NaN,NaN
1858,2,0.479,NaN,NaN,NaN,-0.306,0.04,NaN,NaN,NaN,NaN,NaN,NaN
1858,3,0.833,NaN,NaN,NaN,-0.063,-0.04,NaN,NaN,NaN,NaN,NaN,NaN
1858,4,0.117,NaN,NaN,NaN,0.219,-0.01,NaN,NaN,NaN,NaN,NaN,NaN
1858,5,0.282,NaN,NaN,NaN,0.097,-0.01,NaN,NaN,NaN,NaN,NaN,NaN
1858,6,0.812,NaN,NaN,NaN,-0.032,-0.01,NaN,NaN,NaN,NaN,NaN,NaN
1858,7,-0.68,NaN,NaN,NaN,-0.153,-0.07,NaN,NaN,NaN,NaN,NaN,NaN
1858,8,-0.515,NaN,NaN,NaN,-0.064,-0.23,NaN,NaN,NaN,NaN,NaN,NaN
1858,9,-0.675,NaN,NaN,NaN,0.078,-0.24,NaN,NaN,NaN,NaN,NaN,NaN
1858,10,1.23,NaN,NaN,NaN,0.156,-0.06,NaN,NaN,NaN,NaN,NaN,NaN
1858,11,0.347,NaN,NaN,NaN,0.282,-0.1,NaN,NaN,NaN,NaN,NaN,NaN
